Block, Condition, Item, Key, Accuracy, RT
glob1,incongruent,Kl,['l'],False,0.960581
glob1,incongruent,Kl,['k'],True,1.284574
glob1,congruent,Kk,['k'],True,0.562737
glob1,congruent,Ll,['l'],True,0.426619
glob1,congruent,Ll,['l'],True,0.668523
glob1,congruent,Ll,['l'],True,0.472072
glob1,congruent,Ll,['l'],True,0.642055
glob1,incongruent,Lk,['l'],True,0.535203
glob1,incongruent,Kl,['k'],True,0.477446
glob1,congruent,Ll,['l'],True,0.928907
glob1,incongruent,Kl,['k'],True,0.573987
glob1,congruent,Ll,['l'],True,0.578116
glob1,congruent,Kk,['k'],True,0.405945
glob1,congruent,Kk,['l'],False,0.444721
glob1,incongruent,Kl,['k'],True,0.816436
glob1,congruent,Ll,['l'],True,0.633654
glob1,congruent,Kk,['k'],True,0.767383
glob1,incongruent,Lk,['l'],True,0.593250
glob1,incongruent,Lk,['k'],False,0.864797
glob1,incongruent,Lk,['l'],True,0.851473
glob1,congruent,Kk,['k'],True,0.806690
glob1,incongruent,Kl,['k'],True,0.724559
glob1,incongruent,Kl,['k'],True,0.851365
glob1,incongruent,Kl,['k'],True,0.779576
glob1,incongruent,Kl,['k'],True,0.819399
loc1,incongruent,Kl,['l'],True,0.816574
loc1,incongruent,Lk,['k'],True,0.834034
loc1,congruent,Kk,['k'],True,0.822630
loc1,incongruent,Lk,['k'],True,0.893578
loc1,congruent,Ll,['l'],True,0.527332
loc1,incongruent,Lk,['k'],True,0.938426
loc1,congruent,Ll,['l'],True,0.614934
loc1,incongruent,Lk,['k'],True,0.882873
loc1,congruent,Ll,['l'],True,0.611940
loc1,incongruent,Kl,['l'],True,0.801931
loc1,congruent,Kk,['k'],True,0.643779
loc1,congruent,Kk,['k'],True,0.713594
loc1,incongruent,Kl,['l'],True,0.628365
loc1,congruent,Ll,['l'],True,0.696968
loc1,congruent,Kk,['k'],True,0.626292
loc1,congruent,Kk,['k'],True,0.726051
loc1,congruent,Ll,['l'],True,0.527510
loc1,incongruent,Kl,['k'],False,0.601578
loc1,congruent,Ll,None,False,nan
loc1,incongruent,Kl,['l'],True,0.783868
loc1,congruent,Ll,['l'],True,0.574176
loc1,congruent,Ll,['l'],True,0.560992
loc1,incongruent,Kl,['l'],True,0.909014
loc1,incongruent,Lk,['k'],True,0.672162
loc1,congruent,Ll,['l'],True,0.490890
loc2,incongruent,Kl,['l'],True,0.920534
loc2,congruent,Kk,['k'],True,0.775683
loc2,incongruent,Kl,['l'],True,0.981378
loc2,incongruent,Kl,['l'],True,0.891221
loc2,incongruent,Lk,['k'],True,0.695890
loc2,incongruent,Lk,['k'],True,0.781773
loc2,incongruent,Kl,['l'],True,0.786438
loc2,congruent,Ll,['l'],True,0.916327
loc2,congruent,Kk,['k'],True,0.529339
loc2,incongruent,Kl,['l'],True,0.633243
loc2,congruent,Ll,['l'],True,0.630271
loc2,congruent,Kk,['k'],True,0.578486
loc2,congruent,Ll,['l'],True,0.529723
loc2,congruent,Kk,['k'],True,0.645706
loc2,incongruent,Kl,['l'],True,0.623918
loc2,incongruent,Lk,['k'],True,0.772447
loc2,congruent,Kk,['k'],True,0.727976
loc2,incongruent,Lk,['k'],True,0.660680
loc2,congruent,Ll,['l'],True,0.446636
loc2,congruent,Ll,['l'],True,0.584437
loc2,incongruent,Kl,['l'],True,0.725249
loc2,incongruent,Kl,['l'],True,0.641854
loc2,congruent,Kk,['k'],True,0.809223
loc2,congruent,Ll,['l'],True,0.785796
loc2,congruent,Ll,['l'],True,0.642556
glob2,congruent,Kk,['k'],True,0.893093
glob2,congruent,Ll,['l'],True,0.662802
glob2,incongruent,Lk,['l'],True,0.781785
glob2,congruent,Kk,['k'],True,0.968785
glob2,congruent,Ll,['l'],True,0.746444
glob2,incongruent,Lk,['k'],False,1.162981
glob2,incongruent,Kl,['k'],True,0.947756
glob2,incongruent,Kl,['k'],True,1.170654
glob2,congruent,Kk,['k'],True,0.692130
glob2,incongruent,Kl,['k'],True,1.471401
glob2,congruent,Kk,['k'],True,0.619226
glob2,congruent,Ll,['l'],True,0.604839
glob2,congruent,Kk,['k'],True,0.603107
glob2,congruent,Ll,['l'],True,0.733807
glob2,incongruent,Lk,['l'],True,1.349664
glob2,incongruent,Kl,['k'],True,0.706412
glob2,incongruent,Lk,None,False,nan
glob2,congruent,Kk,['k'],True,0.668681
glob2,congruent,Kk,['k'],True,0.648010
glob2,incongruent,Lk,['l'],True,0.754949
glob2,congruent,Ll,['l'],True,0.551558
glob2,congruent,Ll,['l'],True,0.586219
glob2,incongruent,Kl,['k'],True,0.950750
glob2,congruent,Kk,['k'],True,0.798570
glob2,incongruent,Lk,['l'],True,0.902255
Done at 259.232019
