Part_ID, Congruent_RT_Mean, Incongruent_RT_Mean, Congruent_ACC, Incongruent_ACC, Congruent_EFF, Incongruent_EFF, Global_RT_Mean, Local_RT_Mean, Global_ACC, Local_ACC, Global_EFF, Local_EFF, Global_Congruent_RT, Global_Incongruent_RT, Local_Congruent_RT, Local_Incongruent_RT, Global_Congruent_ACC, Global_Incongruent_ACC, Local_Congruent_ACC, Local_Incongruent_ACC, Global_Congruent_EFF, Global_Incongruent_EFF, Local_Congruent_EFF, Local_Incongruent_EFF 
10, 0.5473, 0.6005, 95.7447, 92.4528, 0.5717, 0.6495, 0.5584, 0.5926, 92.0000, 96.0000, 0.6070, 0.6173, 0.5564, 0.5607, 0.5350, 0.6310, 96.2963, 86.9565, 95.0000, 96.6667, 0.5778, 0.6448, 0.5632, 0.6527
11, 0.5164, 0.5480, 100.0000, 95.8333, 0.5164, 0.5718, 0.5481, 0.5150, 96.0000, 100.0000, 0.5710, 0.5150, 0.5233, 0.5773, 0.5089, 0.5211, 100.0000, 91.3043, 100.0000, 100.0000, 0.5233, 0.6322, 0.5089, 0.5211
12, 0.4854, 0.4968, 94.3396, 89.3617, 0.5145, 0.5559, 0.4370, 0.5444, 94.0000, 90.0000, 0.4649, 0.6049, 0.4456, 0.4270, 0.5267, 0.5637, 100.0000, 86.9565, 88.4615, 91.6667, 0.4456, 0.4910, 0.5954, 0.6149
13, 0.4716, 0.5177, 97.4359, 100.0000, 0.4840, 0.5177, 0.5032, 0.4962, 98.0000, 100.0000, 0.5135, 0.4962, 0.4707, 0.5309, 0.4729, 0.5072, 95.6522, 100.0000, 100.0000, 100.0000, 0.4921, 0.5309, 0.4729, 0.5072
14, 0.6088, 0.6401, 100.0000, 90.5660, 0.6088, 0.7068, 0.6356, 0.6152, 90.0000, 100.0000, 0.7062, 0.6152, 0.6142, 0.6524, 0.6040, 0.6264, 100.0000, 82.1429, 100.0000, 100.0000, 0.6142, 0.7942, 0.6040, 0.6264
15, 0.5034, 0.5914, 100.0000, 97.7273, 0.5034, 0.6052, 0.5049, 0.5794, 98.0000, 100.0000, 0.5152, 0.5794, 0.4772, 0.5375, 0.5279, 0.6505, 100.0000, 95.6522, 100.0000, 100.0000, 0.4772, 0.5619, 0.5279, 0.6505
16, 0.5035, 0.5100, 100.0000, 96.3636, 0.5035, 0.5293, 0.4465, 0.5677, 98.0000, 98.0000, 0.4557, 0.5792, 0.4373, 0.4538, 0.5669, 0.5683, 100.0000, 96.4286, 100.0000, 96.2963, 0.4373, 0.4706, 0.5669, 0.5902
17, 0.5781, 0.6110, 96.0000, 90.0000, 0.6022, 0.6789, 0.5655, 0.6236, 94.0000, 92.0000, 0.6016, 0.6779, 0.5617, 0.5707, 0.6007, 0.6402, 100.0000, 85.7143, 90.4762, 93.1034, 0.5617, 0.6658, 0.6640, 0.6876
18, 0.4982, 0.5367, 100.0000, 100.0000, 0.4982, 0.5367, 0.5296, 0.5022, 100.0000, 100.0000, 0.5296, 0.5022, 0.5046, 0.5640, 0.4907, 0.5138, 100.0000, 100.0000, 100.0000, 100.0000, 0.5046, 0.5640, 0.4907, 0.5138
19, 0.5007, 0.5137, 93.0233, 89.4737, 0.5382, 0.5741, 0.5137, 0.5025, 86.0000, 96.0000, 0.5974, 0.5234, 0.5220, 0.5061, 0.4738, 0.5201, 91.6667, 80.7692, 94.7368, 96.7742, 0.5694, 0.6266, 0.5001, 0.5374
1, 0.5188, 0.5567, 100.0000, 88.3721, 0.5188, 0.6300, 0.5569, 0.5133, 92.0000, 98.0000, 0.6054, 0.5238, 0.5264, 0.5991, 0.5110, 0.5163, 100.0000, 80.9524, 100.0000, 95.4545, 0.5264, 0.7401, 0.5110, 0.5408
20, 0.5698, 0.6090, 98.0392, 93.8776, 0.5812, 0.6487, 0.5878, 0.5902, 96.0000, 96.0000, 0.6123, 0.6148, 0.5727, 0.6042, 0.5668, 0.6136, 96.1538, 95.8333, 100.0000, 92.0000, 0.5956, 0.6305, 0.5668, 0.6669
21, 0.6510, 0.8306, 96.2264, 89.3617, 0.6766, 0.9295, 0.7642, 0.7065, 90.0000, 96.0000, 0.8491, 0.7359, 0.6583, 0.8840, 0.6438, 0.7773, 96.1538, 83.3333, 96.2963, 95.6522, 0.6846, 1.0608, 0.6686, 0.8126
22, 0.6433, 0.5942, 100.0000, 96.0784, 0.6433, 0.6184, 0.5285, 0.7080, 96.0000, 100.0000, 0.5505, 0.7080, 0.5545, 0.4981, 0.7522, 0.6732, 100.0000, 91.3043, 100.0000, 100.0000, 0.5545, 0.5455, 0.7522, 0.6732
23, 0.6218, 0.6801, 93.1818, 92.8571, 0.6673, 0.7324, 0.6191, 0.6916, 94.0000, 92.0000, 0.6586, 0.7518, 0.6010, 0.6312, 0.6400, 0.7411, 90.0000, 96.6667, 95.8333, 88.4615, 0.6677, 0.6530, 0.6678, 0.8378
24, 0.4847, 0.5034, 98.1132, 97.8723, 0.4940, 0.5143, 0.4985, 0.4885, 98.0000, 98.0000, 0.5086, 0.4985, 0.4979, 0.4991, 0.4710, 0.5075, 96.2963, 100.0000, 100.0000, 95.8333, 0.5171, 0.4991, 0.4710, 0.5295
25, 0.4702, 0.4893, 98.0392, 87.7551, 0.4796, 0.5575, 0.4698, 0.4893, 94.0000, 92.0000, 0.4998, 0.5318, 0.4627, 0.4764, 0.4769, 0.5038, 95.8333, 92.3077, 100.0000, 82.6087, 0.4828, 0.5161, 0.4769, 0.6099
26, 0.5109, 0.5310, 100.0000, 96.2963, 0.5109, 0.5514, 0.5061, 0.5374, 98.0000, 98.0000, 0.5164, 0.5484, 0.4986, 0.5110, 0.5203, 0.5560, 100.0000, 96.6667, 100.0000, 95.8333, 0.4986, 0.5286, 0.5203, 0.5802
27, 0.4774, 0.5710, 94.5455, 86.6667, 0.5049, 0.6588, 0.4915, 0.5475, 92.0000, 90.0000, 0.5342, 0.6084, 0.4663, 0.5210, 0.4881, 0.6232, 96.2963, 86.9565, 92.8571, 86.3636, 0.4842, 0.5992, 0.5256, 0.7216
28, 0.4944, 0.5289, 95.8333, 98.0769, 0.5159, 0.5393, 0.4789, 0.5458, 96.0000, 98.0000, 0.4989, 0.5570, 0.4740, 0.4852, 0.5231, 0.5610, 96.4286, 95.4545, 95.0000, 100.0000, 0.4915, 0.5083, 0.5506, 0.5610
29, 0.5027, 0.5412, 97.8723, 96.2264, 0.5137, 0.5624, 0.5040, 0.5422, 98.0000, 96.0000, 0.5143, 0.5648, 0.4914, 0.5139, 0.5127, 0.5717, 100.0000, 96.4286, 96.0000, 96.0000, 0.4914, 0.5329, 0.5341, 0.5955
2, 0.5021, 0.5355, 92.1569, 73.4694, 0.5448, 0.7289, 0.5045, 0.5325, 76.0000, 90.0000, 0.6638, 0.5917, 0.4898, 0.5217, 0.5160, 0.5477, 96.2963, 52.1739, 87.5000, 92.3077, 0.5086, 1.0000, 0.5897, 0.5934
30, 0.4752, 0.5278, 100.0000, 95.7447, 0.4752, 0.5513, 0.4547, 0.5452, 98.0000, 98.0000, 0.4640, 0.5563, 0.4331, 0.4822, 0.5224, 0.5680, 100.0000, 95.4545, 100.0000, 96.0000, 0.4331, 0.5052, 0.5224, 0.5916
31, 0.5105, 0.5549, 90.5660, 93.6170, 0.5637, 0.5927, 0.5281, 0.5346, 92.0000, 92.0000, 0.5741, 0.5811, 0.4898, 0.5635, 0.5277, 0.5442, 91.6667, 92.3077, 89.6552, 95.2381, 0.5343, 0.6105, 0.5885, 0.5714
32, 0.5856, 0.5527, 100.0000, 97.9167, 0.5856, 0.5645, 0.5508, 0.5888, 98.0000, 100.0000, 0.5621, 0.5888, 0.5767, 0.5150, 0.5968, 0.5820, 100.0000, 95.2381, 100.0000, 100.0000, 0.5767, 0.5408, 0.5968, 0.5820
33, 0.6074, 0.6795, 97.8723, 94.3396, 0.6206, 0.7202, 0.7195, 0.5739, 92.0000, 100.0000, 0.7821, 0.5739, 0.6622, 0.7703, 0.5526, 0.5921, 95.8333, 88.4615, 100.0000, 100.0000, 0.6909, 0.8707, 0.5526, 0.5921
34, 0.5745, 0.6186, 98.0000, 68.0000, 0.5862, 0.9096, 0.6096, 0.5835, 98.0000, 68.0000, 0.6220, 0.8580, 0.5880, 0.6370, 0.5572, 0.6041, 96.4286, 100.0000, 100.0000, 42.8571, 0.6098, 0.6370, 0.5572, 1.4095
35, 0.5050, 0.5037, 98.1132, 93.6170, 0.5147, 0.5380, 0.5146, 0.4941, 92.0000, 100.0000, 0.5594, 0.4941, 0.5148, 0.5144, 0.4974, 0.4892, 95.6522, 88.8889, 100.0000, 100.0000, 0.5382, 0.5787, 0.4974, 0.4892
36, 0.5216, 0.5776, 95.8333, 96.1538, 0.5442, 0.6007, 0.5193, 0.5822, 98.0000, 94.0000, 0.5299, 0.6193, 0.5238, 0.5121, 0.5175, 0.6165, 96.7742, 100.0000, 94.1176, 93.9394, 0.5412, 0.5121, 0.5498, 0.6563
37, 0.4857, 0.4856, 96.0000, 90.0000, 0.5059, 0.5395, 0.4934, 0.4778, 92.0000, 94.0000, 0.5363, 0.5083, 0.4967, 0.4911, 0.4778, 0.4779, 95.2381, 89.6552, 96.5517, 90.4762, 0.5215, 0.5477, 0.4948, 0.5282
38, 0.4837, 0.4972, 100.0000, 96.7742, 0.4837, 0.5138, 0.4541, 0.5301, 98.0000, 98.0000, 0.4634, 0.5409, 0.4617, 0.4498, 0.5035, 0.5478, 100.0000, 96.8750, 100.0000, 96.6667, 0.4617, 0.4644, 0.5035, 0.5667
39, 0.5675, 0.6114, 97.8723, 100.0000, 0.5798, 0.6114, 0.6076, 0.5739, 98.0000, 100.0000, 0.6200, 0.5739, 0.5757, 0.6395, 0.5581, 0.5863, 96.0000, 100.0000, 100.0000, 100.0000, 0.5997, 0.6395, 0.5581, 0.5863
3, 0.6743, 0.6886, 94.0000, 90.0000, 0.7174, 0.7651, 0.6542, 0.7087, 90.0000, 94.0000, 0.7269, 0.7539, 0.6437, 0.6656, 0.7075, 0.7098, 92.3077, 87.5000, 95.8333, 92.3077, 0.6973, 0.7607, 0.7382, 0.7689
40, 0.5188, 0.5438, 90.7407, 93.4783, 0.5717, 0.5817, 0.5102, 0.5517, 94.0000, 90.0000, 0.5428, 0.6130, 0.5154, 0.5041, 0.5224, 0.5835, 92.5926, 95.6522, 88.8889, 91.3043, 0.5567, 0.5270, 0.5877, 0.6391
